Team,Round of 32,Round of 16,Quarter Final,Semi Final,Final,Champion,Round of 32 (%),Round of 16 (%),Quarter Final (%),Semi Final (%),Final (%),Champion (%)
Argentina,98,77,61,48,32,19,98.0,77.0,61.0,48.0,32.0,19.0
Spain,96,73,50,37,20,12,96.0,73.0,50.0,37.0,20.0,12.0
France,96,59,41,25,18,12,96.0,59.0,41.0,25.0,18.0,12.0
Brazil,96,80,58,38,20,10,96.0,80.0,58.0,38.0,20.0,10.0
Mexico,93,62,34,20,12,8,93.0,62.0,34.0,20.0,12.0,8.0
Germany,97,69,40,31,18,7,97.0,69.0,40.0,31.0,18.0,7.0
Belgium,94,54,30,19,8,7,94.0,54.0,30.0,19.0,8.0,7.0
England,94,58,30,17,9,6,94.0,58.0,30.0,17.0,9.0,6.0
Colombia,96,64,38,18,7,4,96.0,64.0,38.0,18.0,7.0,4.0
Uruguay,89,51,25,16,6,3,89.0,51.0,25.0,16.0,6.0,3.0
Portugal,98,67,41,20,13,3,98.0,67.0,41.0,20.0,13.0,3.0
Switzerland,90,51,14,5,1,1,90.0,51.0,14.0,5.0,1.0,1.0
Morocco,74,32,9,2,1,1,74.0,32.0,9.0,2.0,1.0,1.0
Croatia,85,39,20,9,4,1,85.0,39.0,20.0,9.0,4.0,1.0
Saudi Arabia,66,27,10,1,1,1,66.0,27.0,10.0,1.0,1.0,1.0
South Korea,66,33,15,2,2,1,66.0,33.0,15.0,2.0,2.0,1.0
Japan,88,50,30,13,6,1,88.0,50.0,30.0,13.0,6.0,1.0
Ivory Coast,87,36,21,6,1,1,87.0,36.0,21.0,6.0,1.0,1.0
Netherlands,93,58,30,11,6,1,93.0,58.0,30.0,11.0,6.0,1.0
Algeria,67,29,10,2,1,1,67.0,29.0,10.0,2.0,1.0,1.0
Turkey,83,31,13,3,1,0,83.0,31.0,13.0,3.0,1.0,0.0
Paraguay,61,22,10,2,0,0,61.0,22.0,10.0,2.0,0.0,0.0
Australia,66,25,6,2,1,0,66.0,25.0,6.0,2.0,1.0,0.0
Qatar,57,19,9,1,0,0,57.0,19.0,9.0,1.0,0.0,0.0
Czech Republic,63,26,10,1,0,0,63.0,26.0,10.0,1.0,0.0,0.0
South Africa,43,18,10,3,1,0,43.0,18.0,10.0,3.0,1.0,0.0
Canada,65,19,7,1,0,0,65.0,19.0,7.0,1.0,0.0,0.0
United States,65,30,10,3,0,0,65.0,30.0,10.0,3.0,0.0,0.0
Scotland,62,23,7,3,0,0,62.0,23.0,7.0,3.0,0.0,0.0
Haiti,26,2,0,0,0,0,26.0,2.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,63,12,3,3,1,0,63.0,12.0,3.0,3.0,1.0,0.0
Tunisia,35,12,2,0,0,0,35.0,12.0,2.0,0.0,0.0,0.0
Cape Verde,13,5,1,1,1,0,13.0,5.0,1.0,1.0,1.0,0.0
Egypt,90,33,9,5,1,0,90.0,33.0,9.0,5.0,1.0,0.0
Iran,78,37,16,5,0,0,78.0,37.0,16.0,5.0,0.0,0.0
New Zealand,11,0,0,0,0,0,11.0,0.0,0.0,0.0,0.0,0.0
Curaçao,9,3,0,0,0,0,9.0,3.0,0.0,0.0,0.0,0.0
Ecuador,73,39,19,9,3,0,73.0,39.0,19.0,9.0,3.0,0.0
Sweden,58,23,9,3,2,0,58.0,23.0,9.0,3.0,2.0,0.0
Norway,60,22,7,2,2,0,60.0,22.0,7.0,2.0,2.0,0.0
Jordan,25,4,0,0,0,0,25.0,4.0,0.0,0.0,0.0,0.0
Austria,71,40,13,5,0,0,71.0,40.0,13.0,5.0,0.0,0.0
Senegal,73,38,14,5,0,0,73.0,38.0,14.0,5.0,0.0,0.0
Iraq,34,10,2,0,0,0,34.0,10.0,2.0,0.0,0.0,0.0
Uzbekistan,30,4,1,0,0,0,30.0,4.0,1.0,0.0,0.0,0.0
Jamaica,34,10,5,0,0,0,34.0,10.0,5.0,0.0,0.0,0.0
Ghana,39,8,3,1,0,0,39.0,8.0,3.0,1.0,0.0,0.0
Panama,50,16,7,2,1,0,50.0,16.0,7.0,2.0,1.0,0.0
